fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
vaginal,hsv1-miR-H5-5p,0.0,1.0,-3.634061803922032,-3.609177885534303,-1.938721875540867
vaginal,hsv1-miR-H6-3p,0.0,0.0,-10.644014262501612,-10.161050738947708,-9.529966331443372
vaginal,hsv1-miR-H6-5p,0.0,1.0,-7.334648247099731,-7.01855537765958,-6.675613275640103
vaginal,hsv1-miR-H7-3p,0.0,0.5,-10.05535611284776,-9.039828820611728,-8.708363670650414
vaginal,hsv1-miR-H7-5p,0.0,1.0,-3.482314602159243,-3.456438458220778,-2.896240625180289
vaginal,hsv1-miR-H8-3p,0.0,1.0,-8.433135830416054,-8.412074305718289,-8.578838936334632
vaginal,hsv1-miR-H8-5p,0.0,1.0,-7.723909117247359,-7.468169424507901,-7.286709087723288
vaginal,hsv2-miR-H10,0.0,1.0,-9.190047372291,-8.791605152295109,-9.58910484378912
vaginal,hsv2-miR-H11-3p,0.0,1.0,-5.4486547335325355,-5.329931258931948,-3.593216265028147
vaginal,hsv2-miR-H11-5p,0.0,1.0,-4.2145438276438725,-3.7747958525198215,-3.061833544507182
vaginal,hsv2-miR-H12,0.0,1.0,-6.403311239926196,-6.143472892936227,-4.647537105197739
vaginal,hsv2-miR-H13,0.0,1.0,-6.560860039636338,-6.459108627346705,-5.14788241279733
vaginal,hsv2-miR-H19,0.0,1.0,-4.642167173345126,-3.8729632740824185,-1.160964047443681
vaginal,hsv2-miR-H2,0.0,1.0,-7.140825918627552,-6.660394762344651,-5.386915684077481
vaginal,hsv2-miR-H20,0.0,1.0,-9.641050032118532,-9.211184144983086,-8.286890061619282
vaginal,hsv2-miR-H21,0.0,1.0,-0.25,-0.25,0.0
vaginal,hsv2-miR-H22,0.0,1.0,-3.2034452978042594,-3.189659909256144,-2.438721875540867
vaginal,hsv2-miR-H23-3p,0.0,1.0,-4.750489474303893,-4.3386226134721175,-1.146240625180289
vaginal,hsv2-miR-H23-5p,0.0,1.0,-4.128693921346326,-3.753897320099348,-2.0572046726239703
vaginal,hsv2-miR-H24,0.0,1.0,-6.6723106472833535,-6.4055556389560095,-6.294040090793457
vaginal,hsv2-miR-H25,0.0,0.0,-11.221210115156753,-11.213071346120689,-10.242104179717431
vaginal,hsv2-miR-H3,0.0,1.0,-5.704907566728431,-4.319121985471799,-2.2937314206251695
vaginal,hsv2-miR-H4-3p,0.0,1.0,-5.754640084043929,-5.187518897625285,-3.689659909256144
vaginal,hsv2-miR-H4-5p,0.0,1.0,-6.482252145353289,-6.137058845534957,-4.300621840110855
